file_name,prompt,seed,background
images/apple__classroom_row_of_desks_daylight__001.png,A neutral apple in a classroom row of desks daylight background,1,apple__classroom_row_of_desks_daylight
images/apple__classroom_row_of_desks_daylight__002.png,A neutral apple in a classroom row of desks daylight background,3,apple__classroom_row_of_desks_daylight
images/apple__classroom_row_of_desks_daylight__003.png,A neutral apple in a classroom row of desks daylight background,4,apple__classroom_row_of_desks_daylight
images/apple__garage_workshop_tools_on_pegboard__001.png,A neutral apple in a garage workshop tools on pegboard background,1,apple__garage_workshop_tools_on_pegboard
images/apple__garage_workshop_tools_on_pegboard__002.png,A neutral apple in a garage workshop tools on pegboard background,2,apple__garage_workshop_tools_on_pegboard
images/apple__garage_workshop_tools_on_pegboard__003.png,A neutral apple in a garage workshop tools on pegboard background,3,apple__garage_workshop_tools_on_pegboard
images/apple__garage_workshop_tools_on_pegboard__004.png,A neutral apple in a garage workshop tools on pegboard background,4,apple__garage_workshop_tools_on_pegboard
images/apple__garage_workshop_tools_on_pegboard__005.png,A neutral apple in a garage workshop tools on pegboard background,5,apple__garage_workshop_tools_on_pegboard
images/apple__green_park_lawn_afternoon_light__001.png,A neutral apple in a green park lawn afternoon light background,1,apple__green_park_lawn_afternoon_light
images/apple__green_park_lawn_afternoon_light__002.png,A neutral apple in a green park lawn afternoon light background,2,apple__green_park_lawn_afternoon_light
images/apple__green_park_lawn_afternoon_light__003.png,A neutral apple in a green park lawn afternoon light background,3,apple__green_park_lawn_afternoon_light
images/apple__green_park_lawn_afternoon_light__004.png,A neutral apple in a green park lawn afternoon light background,4,apple__green_park_lawn_afternoon_light
images/apple__green_park_lawn_afternoon_light__005.png,A neutral apple in a green park lawn afternoon light background,5,apple__green_park_lawn_afternoon_light
images/apple__hotel_room_desk_area__001.png,A neutral apple in a hotel room desk area background,1,apple__hotel_room_desk_area
images/apple__hotel_room_desk_area__002.png,A neutral apple in a hotel room desk area background,2,apple__hotel_room_desk_area
images/apple__hotel_room_desk_area__003.png,A neutral apple in a hotel room desk area background,3,apple__hotel_room_desk_area
images/apple__hotel_room_desk_area__004.png,A neutral apple in a hotel room desk area background,4,apple__hotel_room_desk_area
images/apple__hotel_room_desk_area__005.png,A neutral apple in a hotel room desk area background,5,apple__hotel_room_desk_area
images/apple__kitchen_countertop_daylight__001.png,A neutral apple in a kitchen countertop daylight background,2,apple__kitchen_countertop_daylight
images/apple__kitchen_countertop_daylight__002.png,A neutral apple in a kitchen countertop daylight background,3,apple__kitchen_countertop_daylight
images/apple__kitchen_countertop_daylight__003.png,A neutral apple in a kitchen countertop daylight background,5,apple__kitchen_countertop_daylight
images/apple__minimalist_living-room_corner__001.png,A neutral apple in a minimalist living-room corner background,1,apple__minimalist_living-room_corner
images/apple__minimalist_living-room_corner__002.png,A neutral apple in a minimalist living-room corner background,2,apple__minimalist_living-room_corner
images/apple__modern_office_desk__001.png,A neutral apple in a modern office desk background,1,apple__modern_office_desk
